ID,Region,Gender,Degree,Marital,Religion,Happy,Income,Politics,GunLaw,OwnGun,SpendMilitary,SpendEduc,SpendEnv,SpendCity,Pres16,Age
633,E. Nor. Central,Female,High School,Never Married,Protestant,NA,Average,Extremely Liberal,Legal,Agree,Too Much,Too Little,Too Much,Too Little,Obama,39
634,South Atlantic,Female,High School,Never Married,None,NA,Above Average,Moderate,Legal,Disagree,NA,NA,About Right,Too Little,Obama,27
635,Foreign,Male,Graduate,Divorced,Protestant,NA,Above Average,Moderate,NA,Disagree,Too Much,Too Little,About Right,Too Little,Obama,62
636,South Atlantic,Female,High School,Separated,Protestant,NA,Average,Slightly Liberal,Not Legal,Disagree,NA,NA,Too Little,Too Little,NA,48
637,Foreign,Female,High School,Married,Catholic,Pretty Happy,Below Average,Moderate,Legal,Strongly Disagree,Too Little,About Right,Too Little,Too Little,NA,28
638,South Atlantic,Male,High School,Married,Protestant,Very Happy,Average,Liberal,NA,NA,NA,NA,Too Little,About Right,Obama,47
639,South Atlantic,Female,High School,Never Married,Protestant,NA,Far Below Average,Conservative,Legal,Disagree,NA,NA,About Right,Too Little,Obama,42
640,South Atlantic,Female,High School,Married,Protestant,Pretty Happy,Average,Conservative,Legal,Disagree,Too Much,About Right,About Right,About Right,NA,38
641,E. Nor. Central,Male,Bachelor,Married,None,Very Happy,Average,Moderate,NA,Agree,About Right,Too Little,About Right,About Right,Other Candidate (Specify),53
642,South Atlantic,Male,High School,Divorced,None,NA,Average,Liberal,Legal,Disagree,NA,NA,Too Little,Too Little,Obama,40
643,Middle Atlantic,Male,Junior College,Married,None,Very Happy,Below Average,Conservative,Not Legal,Disagree,Too Much,Too Much,Too Much,About Right,Romney,57
644,South Atlantic,Male,High School,Married,Protestant,Very Happy,Average,Slightly Liberal,NA,Disagree,NA,NA,Too Little,Too Little,NA,51
645,E. Sou. Central,Female,Junior College,Separated,None,NA,Average,Extremely Liberal,Legal,NA,Too Much,Too Little,Too Little,Too Little,Obama,60
646,Foreign,Female,Graduate,Divorced,Protestant,NA,Far Below Average,Conservative,Legal,Disagree,NA,NA,About Right,Too Much,NA,55
647,South Atlantic,Female,High School,Married,Protestant,Very Happy,Average,Conservative,NA,Disagree,About Right,Too Much,Too Little,Too Much,Romney,40
648,Foreign,Male,Lt High School,Married,None,Pretty Happy,Average,NA,Not Legal,Agree,Too Little,Too Little,Too Much,Too Much,NA,25
649,Foreign,Female,Lt High School,Never Married,Catholic,NA,Far Below Average,Moderate,Not Legal,NA,NA,NA,About Right,About Right,NA,19
650,Foreign,Male,Lt High School,Never Married,Catholic,NA,Below Average,Slightly Liberal,NA,NA,About Right,Too Much,Too Much,Too Little,NA,46
651,South Atlantic,Female,Lt High School,Divorced,Protestant,NA,Below Average,Conservative,Legal,NA,About Right,Too Little,About Right,Too Little,Obama,60
652,South Atlantic,Female,High School,Never Married,Protestant,NA,Average,Moderate,NA,Disagree,NA,NA,Too Little,Too Little,NA,22
653,South Atlantic,Female,Graduate,Never Married,None,NA,Average,Liberal,NA,Disagree,Too Little,Too Little,Too Little,About Right,Obama,29
654,E. Nor. Central,Male,Bachelor,Never Married,None,NA,Above Average,Extremely Liberal,Legal,Disagree,About Right,Too Little,Too Little,Too Little,Obama,28
655,E. Nor. Central,Female,High School,Never Married,Protestant,NA,Below Average,Conservative,Legal,Disagree,NA,NA,About Right,About Right,Obama,36
656,E. Sou. Central,Female,Bachelor,Married,Jewish,Very Happy,Average,Moderate,Legal,NA,NA,NA,About Right,Too Little,NA,29
657,South Atlantic,Male,High School,Married,Protestant,Very Happy,Far Below Average,Slightly Liberal,Legal,Strongly Agree,Too Much,Too Little,Too Much,Too Little,Obama,40
658,South Atlantic,Male,High School,Married,None,Very Happy,Average,Moderate,Legal,Disagree,Too Much,Too Little,Too Much,Too Little,NA,47
659,South Atlantic,Female,High School,Never Married,None,NA,Below Average,Moderate,Legal,NA,NA,NA,NA,Too Little,Obama,NA
660,Middle Atlantic,Male,High School,Divorced,Protestant,NA,Average,Slightly Liberal,NA,Disagree,Too Much,Too Little,Too Little,Too Little,Obama,51
661,South Atlantic,Male,High School,Never Married,Protestant,NA,Average,Slightly Liberal,Legal,NA,NA,NA,Too Little,Too Little,NA,63
662,South Atlantic,Male,High School,Never Married,None,NA,Below Average,Moderate,NA,Disagree,NA,NA,Too Little,Too Little,NA,33
663,Foreign,Female,High School,Married,Catholic,Very Happy,Average,Moderate,Not Legal,NA,Too Little,Too Much,About Right,About Right,Obama,47
664,South Atlantic,Female,High School,Married,Protestant,Pretty Happy,Far Below Average,Slghtly Conservative,NA,Agree,NA,NA,About Right,Too Much,NA,26
665,Middle Atlantic,Male,Bachelor,Married,Protestant,Very Happy,Below Average,Liberal,NA,Strongly Disagree,About Right,Too Little,Too Little,Too Little,Obama,68
666,South Atlantic,Female,Bachelor,Married,Protestant,Pretty Happy,Below Average,Moderate,Not Legal,Agree,NA,NA,Too Little,About Right,Obama,36
667,South Atlantic,Male,Junior College,Never Married,Protestant,NA,Below Average,Moderate,Not Legal,Disagree,Too Much,About Right,Too Little,About Right,Romney,34
668,Middle Atlantic,Female,Bachelor,Never Married,Protestant,NA,Average,Moderate,Legal,Disagree,Too Much,Too Little,Too Little,Too Little,Romney,30
669,W. Sou. Central,Female,High School,Married,None,Pretty Happy,Average,Slightly Liberal,Legal,NA,NA,NA,Too Little,Too Little,Obama,71
670,South Atlantic,Female,High School,Never Married,Jewish,NA,Above Average,Conservative,Not Legal,Agree,NA,NA,Too Little,Too Little,Romney,28
671,E. Sou. Central,Male,Bachelor,Married,Protestant,Very Happy,Below Average,Liberal,Legal,Disagree,About Right,Too Little,Too Little,Too Little,Obama,65
672,South Atlantic,Male,High School,Married,Protestant,Very Happy,Far Below Average,Extrmly Conservative,Legal,Strongly Disagree,Too Much,Too Much,Too Much,Too Much,Romney,49
673,South Atlantic,Male,High School,Divorced,None,NA,Above Average,Moderate,Legal,Disagree,NA,NA,Too Little,Too Little,NA,32
674,South Atlantic,Female,High School,Never Married,None,NA,Average,Liberal,NA,NA,Too Much,Too Little,About Right,Too Little,NA,21
675,South Atlantic,Female,Junior College,Married,Protestant,Very Happy,Above Average,Conservative,NA,Strongly Disagree,NA,NA,About Right,About Right,Romney,38
676,South Atlantic,Male,High School,Never Married,Other,NA,Below Average,Moderate,Legal,Strongly Disagree,NA,NA,Too Little,Too Little,NA,22
677,South Atlantic,Male,High School,Divorced,Protestant,NA,Below Average,Slightly Liberal,NA,Disagree,NA,NA,Too Little,Too Little,Obama,50
678,South Atlantic,Male,High School,Married,Protestant,Very Happy,Below Average,Slghtly Conservative,Not Legal,NA,NA,NA,Too Little,Too Little,Obama,86
679,Foreign,Female,High School,Married,Protestant,Very Happy,Average,NA,Not Legal,Disagree,Too Much,Too Little,Too Little,Too Little,NA,59
680,South Atlantic,Female,Junior College,Divorced,None,NA,Above Average,NA,NA,NA,NA,NA,NA,Too Much,Obama,28
681,South Atlantic,Male,High School,Married,Protestant,Pretty Happy,Above Average,Moderate,Legal,Disagree,Too Much,Too Little,About Right,Too Little,Obama,54
682,E. Sou. Central,Female,Bachelor,Married,Protestant,Very Happy,Average,Moderate,Not Legal,Strongly Disagree,NA,NA,NA,Too Little,Obama,71
683,South Atlantic,Female,Junior College,Married,None,Pretty Happy,Far Below Average,Moderate,NA,Agree,Too Much,Too Little,Too Little,About Right,Obama,58
684,Foreign,Female,Lt High School,Widowed,Protestant,NA,Below Average,NA,Not Legal,NA,About Right,About Right,About Right,About Right,NA,88
685,South Atlantic,Male,High School,Married,Catholic,Very Happy,Average,Moderate,NA,Strongly Disagree,Too Much,About Right,About Right,Too Little,NA,34
686,South Atlantic,Female,High School,Never Married,None,NA,Below Average,Conservative,Legal,NA,NA,NA,Too Little,Too Little,Obama,52
687,Foreign,Female,Lt High School,Married,Catholic,Pretty Happy,Far Below Average,Moderate,NA,NA,NA,NA,About Right,Too Little,NA,71
688,South Atlantic,Female,High School,Married,Protestant,Pretty Happy,Average,Moderate,NA,Disagree,NA,NA,About Right,About Right,NA,21
689,South Atlantic,Male,High School,Never Married,None,NA,Far Below Average,Moderate,Legal,Disagree,Too Much,Too Little,Too Little,Too Little,NA,23
690,South Atlantic,Male,High School,Widowed,Protestant,NA,Below Average,Extremely Liberal,NA,NA,NA,NA,Too Little,Too Little,Obama,82
691,South Atlantic,Male,High School,Married,Protestant,Pretty Happy,Below Average,Moderate,Legal,Agree,Too Much,Too Little,Too Little,Too Little,Obama,34
692,South Atlantic,Female,High School,Divorced,Protestant,NA,Far Below Average,NA,Legal,Disagree,NA,NA,Too Much,Too Little,Obama,32
693,Foreign,Female,Graduate,Divorced,Protestant,NA,Below Average,Moderate,NA,Strongly Disagree,Too Little,Too Little,Too Little,Too Little,NA,43
694,South Atlantic,Female,High School,Widowed,Protestant,NA,Below Average,Moderate,NA,NA,NA,NA,About Right,Too Little,Obama,75
695,Foreign,Male,High School,Married,Catholic,Very Happy,Far Below Average,Slghtly Conservative,Not Legal,Agree,NA,NA,Too Little,Too Little,NA,46
696,Foreign,Male,High School,Never Married,Other,NA,Below Average,Conservative,NA,Strongly Disagree,NA,NA,About Right,About Right,NA,33
697,Foreign,Female,Lt High School,Divorced,Catholic,NA,Far Below Average,Conservative,Not Legal,NA,Too Much,Too Little,Too Little,Too Little,Romney,79
698,Foreign,Female,High School,Divorced,Protestant,NA,Below Average,Extrmly Conservative,Not Legal,NA,Too Little,Too Little,NA,Too Little,NA,50
699,South Atlantic,Female,Bachelor,Divorced,Protestant,NA,Average,Moderate,Not Legal,Agree,NA,NA,About Right,Too Little,NA,40
700,Foreign,Female,Lt High School,Widowed,Protestant,NA,Below Average,NA,Not Legal,NA,About Right,Too Little,NA,Too Little,Obama,89 OR OLDER
701,Foreign,Male,High School,Married,Catholic,Very Happy,Below Average,Conservative,Not Legal,Disagree,NA,NA,Too Little,About Right,NA,65
702,Middle Atlantic,Female,High School,Divorced,Catholic,NA,Below Average,Slghtly Conservative,Not Legal,NA,NA,NA,Too Little,Too Little,Obama,69
703,E. Sou. Central,Male,High School,Divorced,Protestant,NA,Below Average,Slghtly Conservative,Not Legal,NA,Too Little,Too Little,Too Little,Too Little,Obama,73
704,Foreign,Female,Lt High School,Never Married,None,NA,Far Below Average,Liberal,NA,Agree,About Right,Too Little,About Right,About Right,NA,53
705,South Atlantic,Female,Junior College,Married,Protestant,Very Happy,Average,Conservative,NA,NA,NA,NA,About Right,Too Little,Romney,46
706,South Atlantic,Female,High School,Divorced,Catholic,NA,Average,Moderate,NA,Disagree,About Right,Too Little,Too Little,Too Little,NA,56
707,Foreign,Male,High School,Married,Jewish,Very Happy,Above Average,Conservative,Not Legal,Disagree,Too Much,Too Little,Too Little,About Right,Romney,71
708,New England,Male,High School,Never Married,Protestant,NA,Below Average,Moderate,NA,Disagree,About Right,Too Little,Too Little,Too Little,NA,33
709,Middle Atlantic,Female,High School,Divorced,Jewish,NA,NA,Liberal,NA,NA,About Right,Too Little,Too Little,About Right,Obama,68
710,Middle Atlantic,Female,High School,Widowed,Jewish,NA,Below Average,Moderate,NA,NA,NA,NA,About Right,About Right,Obama,89 OR OLDER
711,Foreign,Male,Lt High School,Never Married,Protestant,NA,Below Average,NA,NA,Agree,NA,NA,About Right,About Right,NA,19
712,South Atlantic,Male,Bachelor,Never Married,Protestant,NA,Below Average,Conservative,Legal,NA,Too Little,Too Little,About Right,Too Little,Obama,26
713,Foreign,Female,Graduate,Divorced,Protestant,NA,Far Below Average,Moderate,NA,Disagree,NA,NA,Too Little,Too Little,NA,28
714,Foreign,Male,High School,Divorced,None,NA,Average,Moderate,Legal,NA,About Right,Too Little,About Right,Too Little,NA,70
715,Foreign,Female,Lt High School,Married,Protestant,Pretty Happy,Far Below Average,Extremely Liberal,Legal,Disagree,NA,NA,Too Much,Too Little,Obama,38
716,E. Nor. Central,Male,Graduate,Married,Catholic,Very Happy,Above Average,Slghtly Conservative,NA,Disagree,Too Much,Too Little,About Right,About Right,Romney,39
717,E. Nor. Central,Male,High School,Never Married,Protestant,NA,Above Average,Slightly Liberal,Legal,NA,NA,NA,Too Little,Too Little,NA,19
718,E. Nor. Central,Male,Graduate,Married,Catholic,Very Happy,Far Above Average,Moderate,Legal,Agree,Too Much,Too Little,About Right,Too Little,Romney,45
719,E. Nor. Central,Female,Graduate,Married,Protestant,Very Happy,Average,Liberal,NA,Disagree,NA,NA,Too Little,Too Little,Obama,47
720,E. Nor. Central,Male,Graduate,Married,Protestant,Pretty Happy,Above Average,Moderate,NA,Agree,About Right,About Right,Too Little,About Right,Obama,46
721,E. Nor. Central,Female,Lt High School,Never Married,None,NA,Above Average,Moderate,Legal,NA,NA,NA,About Right,Too Little,NA,19
722,South Atlantic,Female,Bachelor,Divorced,Protestant,NA,Above Average,Moderate,Not Legal,Disagree,Too Much,Too Little,Too Little,Too Little,Obama,48
723,E. Nor. Central,Female,High School,Married,Catholic,Very Happy,Average,Moderate,Legal,NA,Too Much,Too Little,Too Little,Too Little,Obama,38
724,E. Nor. Central,Male,Bachelor,Never Married,Protestant,NA,Average,Extremely Liberal,Legal,NA,NA,NA,Too Little,About Right,NA,24
725,E. Nor. Central,Female,High School,Never Married,Catholic,NA,Average,Extrmly Conservative,NA,NA,NA,NA,About Right,Too Little,Obama,54
726,E. Nor. Central,Male,Junior College,Widowed,Moslem/Islam,NA,Above Average,Moderate,Legal,Disagree,NA,NA,Too Little,Too Little,Obama,50
727,E. Nor. Central,Male,High School,Divorced,None,NA,Average,Slightly Liberal,NA,Disagree,Too Much,NA,Too Little,Too Little,Obama,48
728,E. Nor. Central,Male,High School,Never Married,Protestant,NA,Below Average,Extremely Liberal,NA,Disagree,NA,NA,About Right,Too Little,Obama,25
729,E. Nor. Central,Male,High School,Divorced,None,NA,Average,Extrmly Conservative,Legal,Agree,NA,NA,About Right,Too Little,Obama,59
730,E. Nor. Central,Male,High School,Never Married,None,NA,Below Average,Moderate,Legal,Disagree,Too Much,Too Much,Too Little,Too Much,NA,25
731,E. Nor. Central,Female,Junior College,Married,Protestant,Pretty Happy,Average,NA,NA,Disagree,NA,NA,Too Little,Too Little,NA,28
732,E. Nor. Central,Female,High School,Never Married,Protestant,NA,Average,Conservative,Legal,Disagree,NA,About Right,Too Little,Too Little,Obama,40
733,E. Nor. Central,Female,Graduate,Married,None,Very Happy,Above Average,Liberal,Legal,NA,NA,NA,Too Little,About Right,Obama,73
734,E. Nor. Central,Male,Lt High School,Married,Protestant,Very Happy,Average,Moderate,NA,Disagree,About Right,Too Little,Too Little,Too Little,NA,50
735,E. Nor. Central,Female,High School,Never Married,Catholic,NA,Average,Slightly Liberal,NA,Strongly Disagree,NA,NA,About Right,Too Little,NA,20
736,E. Nor. Central,Male,High School,Married,Catholic,Very Happy,Average,Moderate,Legal,Disagree,Too Much,Too Little,Too Little,Too Little,Obama,43
737,E. Nor. Central,Female,Bachelor,Married,Protestant,Very Happy,Above Average,Conservative,Not Legal,NA,NA,NA,About Right,About Right,Romney,68
738,E. Nor. Central,Male,High School,Never Married,Catholic,NA,Above Average,Moderate,Not Legal,Disagree,About Right,About Right,Too Little,Too Little,NA,18
739,E. Nor. Central,Female,High School,Married,Protestant,Very Happy,Below Average,Liberal,Legal,NA,NA,NA,Too Little,Too Little,Obama,54
740,Foreign,Female,Graduate,Divorced,None,NA,Average,Moderate,Not Legal,Agree,NA,NA,About Right,Too Little,NA,71
741,E. Nor. Central,Female,High School,Married,None,Very Happy,Below Average,Moderate,Legal,Disagree,NA,NA,Too Little,Too Little,Romney,28
742,E. Nor. Central,Male,Bachelor,Never Married,Protestant,NA,Average,Moderate,Legal,Agree,Too Much,Too Little,Too Much,Too Little,Obama,46
743,E. Nor. Central,Male,Lt High School,Married,Protestant,Very Happy,Far Below Average,Moderate,Legal,Disagree,NA,NA,Too Little,Too Little,NA,47
744,E. Nor. Central,Female,High School,Widowed,Catholic,NA,Above Average,Moderate,NA,Strongly Disagree,NA,NA,About Right,About Right,Romney,65
745,E. Nor. Central,Male,High School,Never Married,Catholic,NA,Above Average,Moderate,Not Legal,Disagree,About Right,About Right,Too Little,Too Little,NA,18
746,E. Nor. Central,Female,High School,Married,Protestant,Not Too Happy,Below Average,Liberal,NA,Disagree,Too Much,Too Little,About Right,Too Little,Obama,57
747,E. Nor. Central,Female,Bachelor,Widowed,Protestant,NA,Average,Liberal,Legal,Disagree,Too Much,Too Much,Too Little,Too Little,Obama,65
748,E. Nor. Central,Female,High School,Never Married,Protestant,NA,Below Average,Moderate,Not Legal,Agree,Too Much,Too Little,Too Much,Too Little,NA,25
749,E. Nor. Central,Male,High School,Never Married,None,NA,Below Average,Slghtly Conservative,Not Legal,Strongly Agree,NA,NA,About Right,Too Little,Obama,30
750,E. Nor. Central,Female,High School,Never Married,None,NA,Below Average,Moderate,NA,Strongly Disagree,NA,NA,About Right,Too Little,Obama,37
751,E. Nor. Central,Female,High School,Married,Protestant,Very Happy,Average,Moderate,Legal,NA,NA,NA,Too Little,Too Much,Romney,68
752,E. Nor. Central,Male,High School,Divorced,None,NA,Below Average,Extremely Liberal,Legal,Disagree,Too Much,Too Little,About Right,About Right,Obama,47
753,E. Nor. Central,Male,Lt High School,Never Married,Protestant,NA,Average,Conservative,Legal,NA,NA,NA,NA,Too Little,NA,61
754,Pacific,Male,High School,Never Married,Protestant,NA,Average,Moderate,Legal,Disagree,NA,NA,About Right,Too Little,NA,23
755,Pacific,Male,High School,Never Married,None,NA,Above Average,Moderate,NA,Disagree,NA,NA,Too Little,NA,Obama,27
756,Pacific,Male,High School,Never Married,Other,NA,Above Average,Slghtly Conservative,Legal,Disagree,Too Little,Too Much,Too Little,About Right,NA,19
757,Pacific,Male,Bachelor,Married,Protestant,Very Happy,Above Average,Extremely Liberal,NA,Agree,About Right,About Right,About Right,Too Little,Obama,54
758,Pacific,Female,Junior College,Married,None,Very Happy,Below Average,Liberal,Legal,NA,NA,NA,Too Little,About Right,Obama,34
759,Pacific,Female,Graduate,Widowed,Protestant,NA,Average,Slightly Liberal,NA,NA,NA,NA,About Right,Too Little,Obama,89 OR OLDER
760,Mountain,Male,High School,Married,Catholic,Very Happy,Average,Moderate,NA,NA,NA,NA,About Right,Too Little,NA,34
761,Middle Atlantic,Male,Bachelor,Married,Catholic,Very Happy,Average,Conservative,Not Legal,NA,Too Much,Too Little,Too Little,Too Little,Romney,64
762,Pacific,Female,Bachelor,Married,None,Very Happy,Average,Moderate,NA,Strongly Disagree,NA,NA,Too Little,Too Much,Obama,36
763,W. Nor. Central,Female,Bachelor,Divorced,None,NA,Above Average,Moderate,Legal,NA,NA,NA,Too Little,Too Little,Obama,42
764,Foreign,Female,Junior College,Married,None,Pretty Happy,Above Average,Moderate,NA,Disagree,NA,NA,Too Little,Too Little,NA,44
765,Pacific,Male,High School,Widowed,Catholic,NA,Above Average,Conservative,NA,Strongly Agree,NA,NA,Too Little,About Right,NA,44
766,Pacific,Male,Bachelor,Never Married,None,NA,Below Average,Slightly Liberal,Legal,Disagree,About Right,Too Little,Too Little,About Right,Obama,43
767,W. Nor. Central,Female,Bachelor,Widowed,Catholic,NA,Average,Moderate,NA,NA,NA,NA,About Right,About Right,Obama,77
768,Pacific,Male,High School,Divorced,None,NA,Below Average,NA,NA,Disagree,Too Much,Too Little,Too Little,Too Little,NA,43
769,Pacific,Male,High School,Divorced,Protestant,NA,Below Average,Moderate,Legal,Disagree,NA,NA,Too Little,Too Little,NA,36
770,Pacific,Male,Bachelor,Never Married,None,NA,Average,Liberal,Legal,Strongly Agree,About Right,Too Little,About Right,Too Little,NA,30
771,Pacific,Male,Bachelor,Divorced,Other,NA,Below Average,Moderate,Not Legal,Disagree,NA,NA,Too Little,About Right,Obama,58
772,Mountain,Female,Bachelor,Divorced,Protestant,NA,Average,Slghtly Conservative,NA,NA,Too Much,About Right,Too Little,About Right,Romney,89 OR OLDER
773,Pacific,Male,High School,Never Married,None,NA,Average,Conservative,NA,NA,NA,NA,NA,NA,NA,62
774,Pacific,Female,High School,Widowed,Catholic,NA,Far Below Average,Conservative,NA,Disagree,Too Much,Too Little,Too Little,NA,Obama,76
775,Pacific,Female,Junior College,Married,None,Very Happy,Above Average,Extremely Liberal,Legal,Strongly Agree,NA,NA,Too Little,Too Little,Obama,51
776,Pacific,Female,Junior College,Never Married,None,NA,Above Average,Slightly Liberal,Legal,Disagree,NA,NA,Too Little,Too Little,Obama,27
777,Pacific,Male,High School,Married,None,Very Happy,Above Average,Liberal,NA,NA,Too Much,About Right,Too Little,About Right,Obama,73
778,Pacific,Male,Lt High School,Never Married,None,NA,Average,Moderate,Not Legal,Disagree,NA,NA,Too Little,Too Little,Obama,28
779,Pacific,Male,Bachelor,Married,None,Very Happy,Below Average,Liberal,Legal,Disagree,Too Little,Too Little,Too Little,Too Little,Obama,34
780,Mountain,Female,High School,Never Married,Protestant,NA,Average,Moderate,Not Legal,NA,NA,NA,About Right,About Right,Romney,40
781,Foreign,Female,Bachelor,Married,Catholic,Very Happy,Far Below Average,Moderate,Not Legal,Agree,NA,NA,Too Little,Too Little,NA,35
782,Mountain,Male,High School,Widowed,Protestant,NA,Below Average,Moderate,Not Legal,Disagree,About Right,Too Little,Too Much,Too Little,NA,70
783,W. Nor. Central,Female,High School,Widowed,Protestant,NA,Average,Slightly Liberal,NA,NA,About Right,Too Little,Too Little,About Right,Romney,82
784,Mountain,Female,Junior College,Divorced,Catholic,NA,Above Average,Liberal,NA,Disagree,Too Little,Too Little,About Right,About Right,Obama,52
785,W. Sou. Central,Male,High School,Divorced,Protestant,NA,Far Below Average,Moderate,Legal,Agree,Too Much,About Right,Too Little,Too Little,NA,56
786,Middle Atlantic,Female,High School,Married,Christian,Very Happy,Average,Conservative,NA,Disagree,NA,NA,About Right,About Right,Romney,46
787,E. Nor. Central,Female,High School,Married,Protestant,Very Happy,Below Average,Conservative,Legal,Strongly Disagree,NA,NA,Too Little,About Right,Romney,33
788,Mountain,Female,Lt High School,Never Married,Catholic,NA,Average,Moderate,NA,Disagree,NA,NA,About Right,Too Little,NA,23
789,W. Nor. Central,Male,High School,Married,None,Pretty Happy,Average,Moderate,NA,Disagree,About Right,About Right,Too Little,Too Little,Obama,48
790,New England,Male,Junior College,Divorced,None,NA,Above Average,Slightly Liberal,Legal,Agree,NA,NA,About Right,Too Little,Obama,55
791,Pacific,Female,High School,Divorced,Protestant,NA,Average,Moderate,NA,NA,NA,NA,About Right,Too Little,Obama,56
792,W. Sou. Central,Female,Bachelor,Married,Protestant,Very Happy,Below Average,Extremely Liberal,Legal,NA,About Right,Too Little,Too Little,Too Little,Obama,74
793,Mountain,Female,High School,Never Married,None,NA,Average,Slghtly Conservative,NA,Disagree,Too Much,About Right,About Right,Too Little,NA,28
794,Foreign,Female,High School,Married,Catholic,Pretty Happy,Average,Conservative,Not Legal,Disagree,NA,NA,About Right,About Right,NA,24
795,Pacific,Male,Bachelor,Married,None,Very Happy,Average,Slghtly Conservative,Legal,NA,About Right,Too Little,Too Little,Too Little,Obama,62
796,Mountain,Female,Junior College,Widowed,Protestant,NA,Above Average,Liberal,Legal,Strongly Disagree,Too Much,Too Little,Too Little,About Right,Obama,74
797,Mountain,Female,High School,Never Married,Catholic,NA,Average,Slightly Liberal,Legal,Strongly Disagree,NA,NA,Too Little,Too Little,NA,24
798,Mountain,Female,High School,Married,None,Very Happy,Above Average,Extremely Liberal,NA,Agree,Too Much,Too Little,Too Little,Too Little,Obama,29
799,Mountain,Female,High School,Widowed,Catholic,NA,Below Average,Slightly Liberal,Not Legal,Agree,Too Much,Too Little,About Right,Too Little,Obama,59
800,Mountain,Male,Junior College,Never Married,Catholic,NA,Below Average,Slightly Liberal,NA,NA,NA,NA,Too Little,Too Little,Obama,73
801,Mountain,Male,Lt High School,Married,None,Pretty Happy,NA,Slghtly Conservative,Not Legal,Disagree,Too Little,Too Little,NA,NA,NA,65
802,Mountain,Female,High School,Married,Protestant,Very Happy,Average,Moderate,Not Legal,Disagree,NA,NA,Too Little,About Right,NA,19
803,Mountain,Female,High School,Never Married,None,NA,Below Average,NA,NA,Agree,About Right,Too Little,Too Little,About Right,NA,22
804,W. Sou. Central,Male,Bachelor,Married,None,Pretty Happy,Average,Slghtly Conservative,Legal,Disagree,Too Much,Too Little,NA,Too Little,Obama,40
805,E. Nor. Central,Male,Lt High School,Married,None,Pretty Happy,Below Average,Liberal,NA,Disagree,Too Much,Too Much,About Right,Too Little,NA,48
806,Pacific,Male,High School,Married,Protestant,Very Happy,Far Below Average,Slightly Liberal,Legal,NA,Too Much,Too Little,Too Little,Too Little,Obama,61
807,Mountain,Female,Graduate,Married,None,Very Happy,Average,Slightly Liberal,NA,Strongly Agree,NA,NA,Too Little,About Right,Obama,49
808,Mountain,Male,High School,Married,Catholic,Pretty Happy,Below Average,Slightly Liberal,Legal,Disagree,Too Much,Too Little,Too Little,About Right,Obama,39
809,Mountain,Female,Junior College,Separated,None,NA,Average,Moderate,Legal,Disagree,NA,NA,About Right,About Right,Obama,45
810,Pacific,Male,High School,Never Married,None,NA,Below Average,Liberal,Legal,NA,Too Much,Too Little,Too Little,About Right,Obama,60
811,Mountain,Male,Bachelor,Never Married,None,NA,Above Average,Slightly Liberal,Legal,Disagree,About Right,Too Little,Too Little,About Right,Obama,32
812,New England,Male,Bachelor,Never Married,None,NA,Above Average,Moderate,Legal,Disagree,NA,NA,Too Little,NA,Obama,39
813,South Atlantic,Female,Bachelor,Married,Protestant,Very Happy,Above Average,Moderate,Legal,Agree,NA,NA,About Right,Too Little,Obama,52
814,Pacific,Female,High School,Married,Protestant,Very Happy,Far Below Average,Moderate,Legal,Disagree,NA,NA,Too Little,About Right,NA,44
815,W. Nor. Central,Female,High School,Divorced,Protestant,NA,Average,Conservative,Legal,Disagree,NA,NA,Too Little,Too Little,Obama,59
816,W. Nor. Central,Female,High School,Divorced,Protestant,NA,Above Average,Liberal,NA,Agree,NA,NA,Too Little,Too Little,Obama,46
817,E. Nor. Central,Male,High School,Never Married,Protestant,NA,Far Below Average,Conservative,NA,NA,NA,NA,Too Little,About Right,Romney,63
818,W. Nor. Central,Male,High School,Never Married,None,NA,Average,NA,NA,NA,About Right,About Right,About Right,About Right,Obama,26
819,E. Nor. Central,Male,High School,Never Married,Other,NA,Far Below Average,Slightly Liberal,Legal,NA,NA,NA,About Right,About Right,NA,31
820,W. Nor. Central,Male,High School,Never Married,Protestant,NA,Below Average,Moderate,Legal,NA,NA,NA,Too Little,About Right,NA,19
821,Pacific,Female,Graduate,Never Married,Catholic,NA,Far Below Average,Moderate,Legal,Disagree,Too Little,Too Little,Too Little,Too Little,Obama,40
822,W. Nor. Central,Male,High School,Married,Protestant,Very Happy,Average,Moderate,NA,NA,Too Much,About Right,About Right,Too Little,Obama,64
823,W. Nor. Central,Male,High School,Never Married,None,NA,Above Average,Moderate,Legal,NA,NA,NA,Too Little,Too Little,Other Candidate (Specify),25
824,E. Nor. Central,Male,High School,Married,Catholic,Very Happy,Below Average,Slghtly Conservative,Legal,NA,Too Much,Too Much,About Right,Too Little,Obama,56
825,W. Nor. Central,Female,Junior College,Married,None,Pretty Happy,Average,Moderate,Legal,NA,Too Much,Too Little,Too Little,Too Little,NA,41
826,W. Nor. Central,Female,Bachelor,Divorced,NA,NA,Below Average,Liberal,NA,Strongly Agree,NA,NA,About Right,Too Little,NA,54
827,W. Nor. Central,Male,High School,Separated,Protestant,NA,Average,Slghtly Conservative,NA,Disagree,NA,NA,Too Little,About Right,Romney,40
828,Mountain,Male,Bachelor,Married,Catholic,Pretty Happy,Far Below Average,Moderate,NA,Disagree,About Right,Too Little,About Right,Too Little,Didn'T Vote For President,64
